song_name,valence,energy,danceability,acousticness,tempo,liveness,mood
sleep at night,0.0367,0.652,0.447,0.0432,117.009,0.184,Chill
Pulling Teeth,0.0775,0.47,0.278,8.6e-05,137.961,0.148,Chill
AI,0.196,0.949,0.321,0.0033399999999999,154.996,0.579,Chill
Lazaretto,0.321,0.923,0.542,0.0033399999999999,149.88299999999998,0.397,Chill
coordinate,0.28,0.6579999999999999,0.688,0.105,151.23,0.335,Chill
Rocket Ship,0.128,0.38,0.953,0.00957,133.941,0.127,Sad
Trap (feat. Lil Baby),0.432,0.742,0.8809999999999999,0.14,116.997,0.156,Chill
Drip Too Hard (Lil Baby & Gunna),0.389,0.662,0.897,0.0852,112.511,0.534,Chill
Snow Globe (feat. NAV) - Remix,0.465,0.619,0.705,0.143,146.02700000000002,0.176,Party
1000,0.34,0.449,0.782,0.268,116.056,0.111,Chill
Henny,0.266,0.82,0.643,0.186,153.102,0.1009999999999999,Energetic
Droptop in the Rain (feat. Tory Lanez),0.359,0.581,0.73,0.0295,137.98,0.106,Party
Flexin,0.192,0.5429999999999999,0.648,0.126,159.92700000000002,0.1009999999999999,Chill
HOOD,0.257,0.604,0.481,0.149,160.078,0.162,Chill
For My Bros,0.635,0.581,0.738,0.28,157.967,0.1009999999999999,Party
Dope Game,0.07,0.539,0.84,0.0423,140.016,0.124,Party
Every Season,0.5660000000000001,0.7040000000000001,0.936,0.0632,130.02200000000002,0.104,Party
LOST (feat. Kid Cudi),0.114,0.499,0.908,0.267,132.968,0.078,Party
SPEEDBOAT,0.81,0.628,0.925,0.0604,120.021,0.358,Happy
No Heart,0.6779999999999999,0.444,0.906,0.136,140.063,0.173,Chill
Secure The Bag,0.5489999999999999,0.7190000000000001,0.8029999999999999,0.344,129.945,0.425,Party
STARGAZING,0.0564,0.789,0.487,0.00947,150.007,0.1889999999999999,Chill
Blue Faces,0.418,0.4589999999999999,0.77,0.387,146.908,0.0792,Party
Codeine Crazy,0.185,0.617,0.745,0.168,125.98,0.389,Party
Who Shot Johnny?,0.326,0.627,0.887,0.0428,127.108,0.109,Party
Rari (feat. Future),0.488,0.812,0.574,0.00757,147.734,0.15,Chill
Days,0.175,0.608,0.6809999999999999,0.0745,159.914,0.108,Chill
Ridin Strikers,0.134,0.534,0.595,0.0106,162.066,0.107,Chill
Mask Off (feat. Kendrick Lamar) - Remix,0.228,0.424,0.72,0.0122,150.01,0.4529999999999999,Party
Swimming Pools (Drank),0.1889999999999999,0.447,0.5770000000000001,0.00627,148.472,0.0899,Chill
Lies About You (feat. Lil Durk),0.525,0.631,0.755,0.0816,153.094,0.111,Party
Day for Day,0.457,0.562,0.737,0.283,162.03,0.0727,Party
