song_name,valence,danceability,energy,tempo,liveness,loudness,speechiness,acousticness,mood
Bulletproof,0.482,0.58,0.867,159.95,0.14,-4.031000000000001,0.165,0.0152,Calm
Contraband,0.483,0.8009999999999999,0.679,130.015,0.188,-8.747,0.0527,0.17,Calm
Deira City Centre,0.146,0.677,0.655,200.238,0.162,-5.541,0.0433,0.0027,Angry
Kyoto,0.203,0.623,0.716,116.914,0.113,-7.449,0.207,0.22,Angry
Pull Out Game,0.313,0.797,0.542,155.862,0.0838,-7.324,0.346,0.018,Calm
Life Is Short,0.3389999999999999,0.743,0.411,119.693,0.292,-7.343,0.376,0.254,Calm
Bloodshed,0.12,0.665,0.8270000000000001,143.026,0.351,-5.597,0.147,0.13,Angry
Wassup Bro!,0.281,0.81,0.585,139.968,0.0959,-7.037000000000001,0.288,0.248,Calm
Grey Tee,0.296,0.622,0.8590000000000001,173.99400000000003,0.0797,-1.541,0.213,0.0342,Angry
Sleeping Bag,0.222,0.674,0.6459999999999999,160.028,0.104,-9.423,0.4,0.1169999999999999,Angry
Afterlife,0.203,0.628,0.53,190.012,0.0642,-9.663,0.0855,0.0608,Calm
King Cobra (Drippin'),0.119,0.877,0.655,127.947,0.0948,-5.3,0.0769,0.00181,Angry
Heart Attack,0.181,0.585,0.895,119.904,0.32,-3.663,0.136,0.0505,Angry
Chain$Aw,0.412,0.7170000000000001,0.925,137.989,0.287,-4.246,0.311,0.244,Calm
"King, Scar.",0.178,0.7140000000000001,0.853,204.068,0.1159999999999999,-4.9,0.304,0.205,Angry
Brand New,0.536,0.767,0.637,160.123,0.105,-7.859,0.442,0.0673,Calm
Jukai,0.0808,0.7190000000000001,0.7040000000000001,113.007,0.0753,-5.23,0.093,0.138,Angry
Philosopher's Throne,0.419,0.85,0.4579999999999999,141.997,0.122,-6.622999999999999,0.206,0.00487,Calm
PRBLMS,0.106,0.672,0.574,206.038,0.18,-4.663,0.0993,0.0303,Calm
Fuck a Hoe (feat. $Uicideboy$),0.493,0.76,0.774,148.0,0.1989999999999999,-6.593,0.172,0.00972,Calm
Broken,0.337,0.508,0.417,193.92,0.128,-8.699,0.0335,0.0231,Calm
